131000.000   2.27e-09   0.000141    216.660 
132000.000   1.94e-09   0.000121    216.660 
133000.000   1.66e-09   0.000103    216.660 
134000.000   1.42e-09   8.81e-05    216.660 
135000.000   1.21e-09   7.53e-05    216.660 
136000.000   1.03e-09   6.43e-05    216.660 
137000.000   8.83e-10   5.49e-05    216.660 
138000.000   7.54e-10   4.69e-05    216.660 
139000.000   6.44e-10   4.01e-05    216.660 
140000.000    5.5e-10   3.43e-05    216.660 
141000.000    4.7e-10   2.93e-05    216.660 
142000.000   4.02e-10    2.5e-05    216.660 
143000.000   3.43e-10   2.14e-05    216.660 
144000.000   2.93e-10   1.82e-05    216.660 
145000.000   2.51e-10   1.56e-05    216.660 
146000.000   2.14e-10   1.33e-05    216.660 
147000.000   1.83e-10   1.14e-05    216.660 
148000.000   1.56e-10   9.72e-06    216.660 
149000.000   1.33e-10   8.31e-06    216.660 
150000.000   1.14e-10    7.1e-06    216.660 
151000.000   9.74e-11   6.06e-06    216.660 
152000.000   8.32e-11   5.18e-06    216.660 
153000.000   7.11e-11   4.42e-06    216.660 
154000.000   6.07e-11   3.78e-06    216.660 
155000.000   5.19e-11   3.23e-06    216.660 
156000.000   4.43e-11   2.76e-06    216.660 
157000.000   3.79e-11   2.36e-06    216.660 
158000.000   3.24e-11   2.01e-06    216.660 
159000.000   2.76e-11   1.72e-06    216.660 
160000.000   2.36e-11   1.47e-06    216.660 
161000.000   2.02e-11   1.26e-06    216.660 
162000.000   1.72e-11   1.07e-06    216.660 
163000.000   1.47e-11   9.16e-07    216.660 
164000.000   1.26e-11   7.83e-07    216.660 
165000.000   1.07e-11   6.69e-07    216.660 
166000.000   9.18e-12   5.71e-07    216.660 
167000.000   7.84e-12   4.88e-07    216.660 
168000.000    6.7e-12   4.17e-07    216.660 
169000.000   5.72e-12   3.56e-07    216.660 
170000.000   4.89e-12   3.04e-07    216.660 
171000.000   4.18e-12    2.6e-07    216.660 
172000.000   3.57e-12   2.22e-07    216.660 
173000.000   3.05e-12    1.9e-07    216.660 
174000.000   2.61e-12   1.62e-07    216.660 
175000.000   2.23e-12   1.39e-07    216.660 
176000.000    1.9e-12   1.18e-07    216.660 
177000.000   1.62e-12   1.01e-07    216.660 
178000.000   1.39e-12   8.64e-08    216.660 
179000.000   1.19e-12   7.38e-08    216.660 
180000.000   1.01e-12    6.3e-08    216.660 
181000.000   8.65e-13   5.39e-08    216.660 
182000.000   7.39e-13    4.6e-08    216.660 
183000.000   6.32e-13   3.93e-08    216.660 
184000.000    5.4e-13   3.36e-08    216.660 
185000.000   4.61e-13   2.87e-08    216.660 
186000.000   3.94e-13   2.45e-08    216.660 
187000.000   3.36e-13   2.09e-08    216.660 
188000.000   2.87e-13   1.79e-08    216.660 
189000.000   2.46e-13   1.53e-08    216.660 
190000.000    2.1e-13   1.31e-08    216.660 
191000.000   1.79e-13   1.12e-08    216.660 
192000.000   1.53e-13   9.53e-09    216.660 
193000.000   1.31e-13   8.14e-09    216.660 
194000.000   1.12e-13   6.95e-09    216.660 
195000.000   9.55e-14   5.94e-09    216.660 
196000.000   8.16e-14   5.08e-09    216.660 
197000.000   6.97e-14   4.34e-09    216.660 
198000.000   5.95e-14    3.7e-09    216.660 
199000.000   5.09e-14   3.17e-09    216.660 
200000.000   4.34e-14    2.7e-09    216.660 
